region,year ,month,date,hospital_beds,COVID_hospitals,Hospitals,COVID_Beds,Intensive_COVID_beds,ID_Beds,Infection_beds,COVID_proportion,Hospitals_involved
Ямбол,2021,декември,15.12.2021,452,4,4,128,24,6,22,"28,32","100,0"
Бургас,2021,декември,15.12.2021,3050,11,18,387,117,28,53,"12,69","61,1"
Кърджали,2021,декември,15.12.2021,769,5,6,89,19,9,20,"11,57","83,3"
Хасково,2021,декември,15.12.2021,1093,8,11,279,38,30,22,"25,53","72,7"
Благоевград,2021,май,15.5.2021,1815,7,11,400,57,21,69,"22,04","63,6"
Варна,2021,май,15.5.2021,2389,7,19,264,90,33,70,"11,05","36,8"
Велико Търново,2021,май,15.5.2021,1576,6,13,279,41,20,135,"17,70","46,2"
Видин,2021,май,15.5.2021,320,2,2,81,6,3,0,"25,31","100,0"
Враца,2021,май,15.5.2021,1201,2,12,190,40,10,10,"15,82","16,7"
Габрово,2021,май,15.5.2021,905,5,7,198,13,8,52,"21,88","71,4"
Кюстендил,2021,май,15.5.2021,1011,3,5,143,28,13,46,"14,14","60,0"
Монтана,2021,май,15.5.2021,994,4,5,246,22,5,5,"24,75","80,0"
Перник,2021,май,15.5.2021,447,3,4,179,10,10,15,"40,04","75,0"
Плевен,2021,май,15.5.2021,2611,13,14,329,115,39,40,"12,60","92,9"
Пловдив,2021,май,15.5.2021,7691,21,39,993,250,129,84,"12,91","53,8"
Разград,2021,май,15.5.2021,553,3,3,77,22,6,18,"13,92","100,0"
Русе,2021,май,15.5.2021,1880,5,10,201,100,48,20,"10,69","50,0"
Сливен,2021,май,15.5.2021,1167,5,8,165,40,12,48,"14,14","62,5"
Смолян,2021,май,15.5.2021,1060,4,8,212,12,11,56,"20,00","50,0"
София-град,2021,май,15.5.2021,12288,39,74,2347,774,269,485,"19,10","52,7"
Шумен,2021,май,15.5.2021,741,3,5,143,28,4,45,"19,30","60,0"
Ямбол,2021,май,15.5.2021,452,4,4,67,24,3,20,"14,82","100,0"
Бургас,2021,май,15.5.2021,3050,11,18,398,89,25,53,"13,05","61,1"
Кърджали,2021,май,15.5.2021,769,5,6,130,19,12,42,"16,91","83,3"
Хасково,2021,май,15.5.2021,1093,9,11,179,38,19,22,"16,38","81,8"
Благоевград,2021,март,15.3.2021,1815,7,11,466,57,19,69,"25,67","63,6"
Варна,2021,март,15.3.2021,2389,8,19,647,90,72,70,"27,08","42,1"
Велико Търново,2021,март,15.3.2021,1576,6,13,279,41,20,123,"17,70","46,2"
Видин,2021,март,15.3.2021,320,2,2,81,6,2,0,"25,31","100,0"
Враца,2021,март,15.3.2021,1201,2,12,292,40,16,10,"24,31","16,7"
Габрово,2021,март,15.3.2021,905,5,7,198,13,8,52,"21,88","71,4"
Кюстендил,2021,март,15.3.2021,1011,3,5,208,28,13,46,"20,57","60,0"
Монтана,2021,март,15.3.2021,994,4,5,263,22,5,0,"26,46","80,0"
Перник,2021,март,15.3.2021,447,3,4,213,10,10,15,"47,65","75,0"
Плевен,2021,март,15.3.2021,2611,14,14,513,115,35,40,"19,65","100,0"
Пловдив,2021,март,15.3.2021,7691,21,39,1159,250,106,84,"15,07","53,8"
Разград,2021,март,15.3.2021,553,3,3,103,22,5,18,"18,63","100,0"
Русе,2021,март,15.3.2021,1880,5,10,464,95,43,20,"24,68","50,0"
Сливен,2021,март,15.3.2021,1167,5,8,299,40,12,48,"25,62","62,5"
